file_name,actress,archetype,situ,max_f0,min_f0,f0_range,f0_dev,sentence_type,,,,
designing_15,Bacall,independent,casual_mys,228,85,143,40,d,,,,
designing_16,Bacall,independent,confront,328,174,154,37,d,,,,
designing_17,Bacall,independent,confront,364,194,170,43,d,,,,
designing_19,Bacall,independent,confront,268,149,119,29,d,,,,
designing_21,Bacall,independent,confront,313,164,149,37,d,,,,
designing_22,Bacall,independent,casual_light,328,94,234,51,d,,,,
designing_23,Bacall,independent,confront,323,112,211,43,yn,,,,
designing_24,Bacall,independent,casual_mys,133,82,51,13,d,,,,
designing_25,Bacall,independent,casual_light,391,58,333,90,d,,,,
designing_26,Bacall,independent,casual_light,293,72,221,75,d,,,,
designing_27,Bacall,independent,casual_light,217,88,129,34,d,,,,
designing_28,Bacall,independent,casual_light,267,91,176,38,d,,,,
designing_29,Bacall,independent,casual_light,246,74,172,40,d,,,,
designing_30,Bacall,independent,casual_light,281,85,196,52,d,,,,
designing_31,Bacall,independent,casual_light,305,111,194,50,d,,,,
designing_32,Bacall,independent,casual_light,156,83,73,26,d,,,,
designing_33,Bacall,independent,confront,341,120,221,48,e,,,,
designing_34,Bacall,independent,confront,356,126,230,47,d,,,,
designing_35,Bacall,independent,casual_light,209,96,113,43,d,,,,
designing_36,Bacall,independent,casual_light,325,103,222,54,d,,,,
ball_2,Stanwyck,independent,casual_light,279,137,142,36,d,,,,
ball_3,Stanwyck,independent,casual_light,302,210,92,56,wh,,,,
ball_4,Stanwyck,independent,casual_light,271,119,152,43,d,,,,
ball_5,Stanwyck,independent,casual_light,302,85,217,41,d,,,,
ball_6,Stanwyck,independent,casual_light,371,87,284,49,d,,,,
ball_8,Stanwyck,independent,casual_cynical,249,129,120,27,d,,,,
ball_9,Stanwyck,independent,casual_light,378,157,221,55,yn,,,,
ball_10,Stanwyck,independent,casual_mys,303,200,103,30,yn,,,,
ball_11,Stanwyck,independent,casual_light,285,191,94,18,yn,,,,
ball_12,Stanwyck,independent,casual_light,338,88,250,48,d,,,,
ball_13,Stanwyck,independent,casual_light,403,175,228,68,e,,,,
ball_14,Stanwyck,independent,casual_light,332,117,215,49,wh,,,,
ball_15,Stanwyck,independent,casual_light,398,145,253,50,e,,,,
ball_16,Stanwyck,independent,casual_light,279,148,131,32,yn,,,,
ball_17,Stanwyck,independent,casual_cynical,288,141,147,33,d,,,,
ball_18,Stanwyck,independent,casual_light,294,164,130,41,d,,,,
ball_19,Stanwyck,independent,casual_light,339,121,218,47,d,,,,
ball_20,Stanwyck,independent,casual_light,197,84,113,22,d,,,,
ball_21,Stanwyck,independent,casual_light,247,151,96,23,d,,,,
ball_22,Stanwyck,independent,casual_light,213,99,114,19,d,,,,
ball_24,Stanwyck,independent,casual_light,596,159,437,129,d,,,,
ball_25,Stanwyck,independent,casual_light,391,128,263,93,wh,,,,
